Crop,Current_N,Current_P,Current_K,Required_N,Required_P,Required_K
Paddy,60,12,1,60,48,59
Gram,16,23,0,4,37,20
Soyabean,26,94,41,0,0,0
Gram,25,56,9,0,4,11
Arhar/Tur,0,103,34,20,0,6
Sugarcane,261,45,68,14,40,0
Potato,34,85,156,116,0,0
Sugarcane,349,79,2,0,6,58
Soyabean,2,7,4,18,73,36
Arhar/Tur,7,83,37,13,0,3
Lentil,18,38,10,2,22,10
Cotton,102,35,53,18,25,7
Cotton,82,18,17,38,42,43
Sugarcane,334,24,35,0,61,25
Maize,199,10,8,0,65,42
Gram,11,52,6,9,8,14
Soyabean,2,94,23,18,0,17
Soyabean,22,28,30,0,52,10
Lentil,9,28,17,11,32,3
Arhar/Tur,22,112,52,0,0,0
Potato,34,110,31,116,0,89
Groundnut,7,83,42,18,0,0
Gram,26,22,13,0,38,7
Mustard,29,5,7,51,35,33
Wheat,51,55,35,69,5,5
Potato,48,69,59,102,11,61
Arhar/Tur,15,55,23,5,25,17
Soyabean,16,33,35,4,47,5
Wheat,43,20,20,77,40,20
Wheat,70,54,56,50,6,0
Sugarcane,27,77,15,248,8,45
Potato,6,88,136,144,0,0
Lentil,4,72,5,16,0,15
Arhar/Tur,10,109,42,10,0,0
Paddy,87,40,78,33,20,0
Arhar/Tur,3,3,12,17,77,28
Sugarcane,85,0,21,190,85,39
Sugarcane,362,100,37,0,0,23
Maize,38,27,45,112,48,5
Lentil,1,50,28,19,10,0
Arhar/Tur,23,82,59,0,0,0
Sugarcane,251,80,68,24,5,0
Arhar/Tur,14,87,48,6,0,0
Groundnut,21,71,21,4,0,19
Potato,61,20,93,89,60,27
Paddy,163,25,51,0,35,9
Maize,63,111,62,87,0,0
Gram,26,77,4,0,0,16
Soyabean,11,21,26,9,59,14
Groundnut,9,27,26,16,33,14
Paddy,82,64,22,38,0,38
Lentil,21,21,5,0,39,15
Potato,109,100,49,41,0,71
Wheat,49,54,43,71,6,0
Mustard,87,15,25,0,25,15
Paddy,59,37,8,61,23,52
Maize,162,108,51,0,0,0
Cotton,145,68,83,0,0,0
Groundnut,4,75,52,21,0,0
Gram,26,18,14,0,42,6
Wheat,121,24,17,0,36,23
Gram,22,30,25,0,30,0
Maize,30,80,64,120,0,0
Paddy,17,56,17,103,4,43
Maize,197,104,32,0,0,18
Sugarcane,120,96,24,155,0,36
Cotton,134,4,17,0,56,43
Soyabean,1,43,59,19,37,0
Sugarcane,112,106,68,163,0,0
Groundnut,22,64,14,3,0,26
Potato,88,17,153,62,63,0
Maize,95,73,4,55,2,46
Sugarcane,115,28,64,160,57,0
Wheat,143,20,12,0,40,28
Paddy,112,50,71,8,10,0
Potato,189,13,148,0,67,0
Potato,116,105,66,34,0,54
Sugarcane,301,110,55,0,0,5
Wheat,90,16,3,30,44,37
Maize,156,96,36,0,0,14
Sugarcane,391,51,22,0,34,38
Maize,5,82,26,145,0,24
Arhar/Tur,13,46,26,7,34,14
Groundnut,4,82,56,21,0,0
Maize,165,13,52,0,62,0
Maize,205,85,11,0,0,39
Maize,214,77,32,0,0,18
Groundnut,24,56,30,1,4,10
Lentil,19,2,11,1,58,9
Wheat,55,48,51,65,12,0
Maize,36,58,21,114,17,29
Cotton,33,52,76,87,8,0
Paddy,83,13,74,37,47,0
Paddy,115,25,28,5,35,32
Arhar/Tur,17,111,41,3,0,0
Mustard,20,4,4,60,36,36
Mustard,66,26,40,14,14,0
Lentil,18,17,27,2,43,0
Gram,14,37,4,6,23,16
Potato,215,9,60,0,71,60
Potato,73,58,134,77,22,0
Lentil,17,6,11,3,54,9
Sugarcane,154,9,38,121,76,22
Maize,224,48,12,0,27,38
Maize,26,22,74,124,53,0
Paddy,136,35,40,0,25,20
Wheat,130,40,1,0,20,39
Groundnut,25,16,58,0,44,0
Potato,116,60,57,34,20,63
Lentil,14,74,14,6,0,6
Cotton,65,22,79,55,38,0
