Month,Month Name,Gram (Chana) (INR/Quintal),Maize (INR/Quintal),Mustard (INR/Quintal),Paddy (Rice) (INR/Quintal),Soybean (INR/Quintal),Wheat (INR/Quintal)
2025-09,September,6911.54,2409.51,5300.82,2494.57,4905.66,2190.11
2025-10,October,6868.15,2143.94,5725.86,2470.02,4536.51,2443.81
2025-11,November,6199.57,2024.05,6539.73,2292.48,4028.55,2818.12
2025-12,December,5609.36,1823.48,6879.18,2193.65,3858.29,2821.11
2026-01,January,5029.69,1831.33,7581.09,2044.59,3757.99,2978.96
2026-02,February,4603.19,1820.99,7429.41,2068.58,3737.98,2881.64
2026-03,March,4193.48,2104.86,6529.61,2144.03,4047.83,2857.81
2026-04,April,4737.71,2214.96,6100.18,2185.68,4778.01,2546.43
2026-05,May,4898.77,2476.99,4987.49,2437.19,5314.86,2218.75
2026-06,June,5449.4,2594.86,4561.17,2628.87,5634.86,2074.32
2026-07,July,6417.25,2628.73,4479.33,2799.94,5901.66,2145.44
2026-08,August,6797.01,2420.48,4619.99,2816.74,5850.88,2198.2
2026-09,September,6834.19,2542.94,5112.12,2785.01,5126.81,2425.61
2026-10,October,6608.29,2287.37,6367.32,2549.57,5054.64,2471.25
2026-11,November,6545.71,2051.46,7245.7,2504.21,4585.43,2789.96
2026-12,December,5896.35,2038.03,7369.08,2305.91,3885.67,3004.23
2027-01,January,5428.5,1965.95,7756.8,2064.14,3969.05,2931.89
2027-02,February,4694.77,2050.28,7353.94,2171.74,4255.16,3150.14
2027-03,March,4658.65,2209.17,7020.29,2225.87,4493.91,2805.99
2027-04,April,4743.69,2346.7,6280.82,2315.83,4756.39,2747.35
2027-05,May,5275.85,2416.7,5459.74,2593.11,5721.54,2432.04
2027-06,June,5709.46,2545.7,5027.94,2566.47,5612.91,2351.12
2027-07,July,6673.17,2713.24,4811.11,2799.43,5788.33,2271.87
2027-08,August,6833.65,2593.11,4951.1,2818.61,6010.04,2264.18
